repo,commit_hash,file_path,is_buggy,loc,sloc,avg_complexity,max_complexity,maintainability_index,num_contributors,num_commits,num_bug_fixes,file_age_commits,lines_added,lines_deleted,import_count,max_nesting_depth,commit_hour,author_commits,files_in_commit,day_of_week,is_first_contribution,commit_msg_length
jinja,29035652,src/jinja2/nativetypes.py,0,130,84,2.82,7,70.38,2,4,1,229,9,3,12,3,16,3,6,2,0,30
jinja,29035652,src/jinja2/runtime.py,0,1053,618,2.14,15,26.06,7,16,3,229,0,1,25,5,16,3,6,2,0,30
jinja,04126f9e,src/jinja2/utils.py,0,755,379,2.37,24,39.58,6,17,6,231,0,12,19,8,12,156,2,1,0,35
jinja,6faf093f,src/jinja2/runtime.py,0,1054,619,2.14,15,26.05,7,16,3,232,0,38,25,5,12,156,3,1,0,58
jinja,88745a2b,src/jinja2/runtime.py,0,1092,644,2.23,15,24.13,7,16,3,233,0,12,26,5,12,156,2,1,0,44
jinja,824b4d3e,src/jinja2/__init__.py,0,37,32,0.0,0,100.0,1,24,0,237,0,2,31,0,12,156,3,1,0,43
jinja,824b4d3e,src/jinja2/utils.py,0,767,388,2.34,24,39.44,6,17,6,234,0,22,20,8,12,156,3,1,0,43
jinja,c6caa4c5,src/jinja2/__init__.py,0,39,34,0.0,0,100.0,1,24,0,238,0,6,33,0,12,156,5,1,0,46
jinja,c6caa4c5,src/jinja2/utils.py,0,789,406,2.29,24,39.03,6,17,6,235,0,65,21,8,12,156,5,1,0,46
jinja,ac9dbfcf,src/jinja2/ext.py,0,854,546,3.34,24,32.33,4,11,2,236,0,25,19,9,12,156,2,1,0,28
jinja,ce1a539a,src/jinja2/__init__.py,0,45,40,0.0,0,100.0,1,24,0,240,1,1,39,0,12,156,2,1,0,21
jinja,eec0db86,src/jinja2/loaders.py,0,652,348,3.32,11,42.64,7,20,9,238,12,4,15,6,12,156,3,1,0,43
jinja,9b96b481,src/jinja2/nodes.py,1,1205,629,2.32,12,26.22,4,8,5,243,1,2,9,7,20,1,3,2,1,579
jinja,b756b192,src/jinja2/async_utils.py,0,75,49,2.5,4,69.28,5,9,3,244,7,0,5,4,23,1,2,0,1,39
jinja,bb0db82b,src/jinja2/nativetypes.py,0,124,78,2.73,6,70.68,2,4,1,245,7,1,11,3,17,3,3,1,0,41
jinja,99435a4e,src/jinja2/debug.py,0,259,156,3.88,9,59.75,3,8,3,246,33,53,11,6,7,156,2,1,0,27
jinja,5308c958,src/jinja2/debug.py,0,211,120,9.0,10,64.31,3,8,3,247,2,70,8,5,8,156,11,0,0,15
jinja,8cc3a64f,src/jinja2/nodes.py,1,1205,629,2.32,12,26.22,4,8,5,254,1,1,9,7,22,1,3,1,1,9
jinja,76c9cf83,src/jinja2/__init__.py,0,45,40,0.0,0,100.0,1,24,0,258,1,1,39,0,17,156,2,0,0,21
jinja,89310770,src/jinja2/loaders.py,1,642,343,3.27,10,43.06,7,20,9,256,3,1,15,6,17,156,3,0,0,128
jinja,ad1ebe30,src/jinja2/bccache.py,0,364,184,2.24,13,54.64,3,6,2,258,1,1,15,4,13,156,1,0,0,15
jinja,a99f8c15,src/jinja2/lexer.py,1,869,623,3.67,48,28.5,4,12,5,261,1,1,10,13,13,156,5,0,0,49
jinja,a99f8c15,src/jinja2/loaders.py,1,642,343,3.27,10,43.06,7,20,9,261,10,10,15,6,13,156,5,0,0,49
jinja,a99f8c15,src/jinja2/nodes.py,1,1205,629,2.32,12,26.22,4,8,5,261,16,16,9,7,13,156,5,0,0,49
jinja,a99f8c15,src/jinja2/utils.py,1,854,441,2.32,24,38.11,6,17,6,261,1,1,21,8,13,156,5,0,0,49
jinja,d5f49f5c,src/jinja2/runtime.py,0,1104,653,2.22,15,24.0,7,16,3,269,2,1,27,5,11,1,3,2,1,59
jinja,4c703ec4,src/jinja2/idtracking.py,0,318,231,2.29,10,30.33,6,8,4,270,1,1,3,6,17,1,4,2,1,159
jinja,1b4c2599,src/jinja2/bccache.py,0,364,184,2.24,13,54.64,3,6,2,271,1,1,15,4,18,22,1,0,0,101
jinja,570f94cc,docs/conf.py,0,53,41,0.0,0,100.0,1,7,0,288,3,3,2,0,20,156,3,3,0,28
jinja,738644d8,src/jinja2/__init__.py,0,45,40,0.0,0,100.0,1,24,0,285,1,1,39,0,13,156,2,1,0,24
jinja,4d23bfb3,src/jinja2/__init__.py,0,45,40,0.0,0,100.0,1,24,0,286,1,1,39,0,13,156,2,1,0,21
jinja,f562a4fd,src/jinja2/utils.py,1,854,441,2.32,24,38.11,6,17,6,286,1,1,21,8,6,156,2,0,0,32
jinja,b4d31e7b,src/jinja2/ext.py,0,879,567,3.19,24,31.55,4,11,2,287,2,2,20,9,17,156,2,3,0,38
jinja,9f34d2ac,src/jinja2/bccache.py,0,364,184,2.24,13,54.64,3,6,2,288,1,1,15,4,17,156,9,3,0,48
jinja,9f34d2ac,src/jinja2/lexer.py,0,869,623,3.67,48,28.5,4,12,5,288,3,2,10,13,17,156,9,3,0,48
jinja,9f34d2ac,src/jinja2/nodes.py,0,1205,629,2.32,12,26.22,4,8,5,288,2,1,9,7,17,156,9,3,0,48
jinja,9f34d2ac,src/jinja2/parser.py,0,1040,852,4.02,11,1.96,4,13,6,288,6,4,9,8,17,156,9,3,0,48
jinja,9f34d2ac,src/jinja2/runtime.py,0,1103,652,2.22,15,24.02,7,16,3,288,4,2,27,5,17,156,9,3,0,48
jinja,9f34d2ac,src/jinja2/utils.py,0,854,441,2.32,24,38.11,6,17,6,288,4,1,21,8,17,156,9,3,0,48
jinja,db5fb797,src/jinja2/__init__.py,0,45,40,0.0,0,100.0,1,24,0,292,31,31,39,0,17,156,2,3,0,32
werkzeug,1b9bfd2d,src/werkzeug/datastructures/csp.py,1,100,62,1.44,2,63.98,2,4,1,0,1,1,5,3,13,1,2,5,1,64
werkzeug,1b9bfd2d,src/werkzeug/sansio/response.py,1,763,499,2.26,9,43.78,4,12,1,0,1,1,33,5,13,1,2,5,1,64
werkzeug,d9cda879,src/werkzeug/routing/map.py,0,951,471,5.11,22,34.0,3,13,3,0,1,1,33,8,10,189,11,4,0,23
werkzeug,5e8b1c1c,src/werkzeug/datastructures/structures.py,0,1239,698,2.0,11,10.4,3,12,1,0,1,1,14,8,12,1,1,1,1,51
werkzeug,9bdec46f,src/werkzeug/security.py,0,181,99,5.2,12,66.65,1,12,0,13,15,0,6,6,10,189,4,3,0,47
werkzeug,9bdec46f,src/werkzeug/utils.py,0,684,329,4.9,35,44.07,2,9,1,0,1,8,28,5,10,189,4,3,0,47
werkzeug,9aabb57c,src/werkzeug/routing/map.py,1,951,471,5.11,22,34.0,3,13,3,17,1,1,33,8,19,1,5,2,1,33
werkzeug,ee7ad400,src/werkzeug/datastructures/mixins.py,0,317,197,1.19,4,47.94,1,4,0,0,3,3,7,3,11,189,8,1,0,23
werkzeug,ee7ad400,src/werkzeug/datastructures/structures.py,0,1239,698,2.0,11,10.4,3,12,1,17,4,4,14,8,11,189,8,1,0,23
werkzeug,dbc73491,src/werkzeug/serving.py,1,1125,699,3.69,18,27.14,5,14,4,0,2,2,39,8,10,189,1,0,0,26
werkzeug,22e00851,docs/conf.py,0,56,47,0.0,0,100.0,1,7,1,0,1,1,2,0,14,189,8,3,0,8
